word,replacedWord
"A COVID Vaccine Certificate (CVC) issued by the government offers an assurance to the beneficiary on the vaccination, type of vaccine used, and the provisional certificate also provides the next vaccination due",حکومت کی طرف سے جاری کردہ کوویڈ ویکسین سرٹیفکیٹ (سی وی سی) فائدہ اٹھانے والے کو ویکسینیشن ، استعمال شدہ ویکسین کی قسم ، اور عارضی سند سے بھی اگلی ویکسی نیشن فراہم کرتا ہے
It also is an evidence for the citizen to prove to any entities which may require proof of vaccination specially in case of travel,شہریوں کے لئے کسی بھی ایسی تنظیم کو ثابت کرنا بھی ایک ثبوت ہے جس کے لئے خاص طور پر سفر کی صورت میں ویکسینیشن کا ثبوت درکار ہوسکتا ہے
"Vaccination not only protects individuals from disease, but also reduces their risk of spreading the virus. Therefore, there could be a requirement in future to produce certificate for certain kind of social interactions and international travel.",ویکسینیشن نہ صرف افراد کو بیماریوں سے بچاتا ہے ، بلکہ ان کے وائرس پھیلانے کے خطرے کو بھی کم کرتا ہے۔ لہذا ، مستقبل میں کسی خاص قسم کے معاشرتی تعامل اور بین الاقوامی (international)سفر کے لئے سند تیار کرنے کی ضرورت ہوسکتی ہے۔
"Therefore, there could be a requirement in future to produce certificate for certain kind of social interactions and international travel.",لہذا ، مستقبل میں کسی خاص قسم کے معاشرتی تعامل اور بین الاقوامی(international) سفر کے لئے سند تیار کرنے کی ضرورت ہوسکتی ہے۔
Who is responsible for providing the vaccination certificate?,ویکسینیشن سرٹیفکیٹ فراہم کرنے کا ذمہ دار کون ہے؟
"The Vaccination Centre is responsible for generating your certificate and for providing a printed copy post vaccination on the day of vaccination itself. Please do insist on receiving the certificate at the Centre. For Private Hospitals, the charges for providing a printed copy of the certificate are included in the service charge for vaccination.",ویکسی نیشن سنٹر آپ کے سرٹیفکیٹ کو تیار کرنے اور ٹیکے لگانے کے دن ہی ایک چھپی ہوئی کاپی پوسٹ ویکسینیشن فراہم کرنے کا ذمہ دار ہے۔ براہ کرم مرکز میں سند حاصل کرنے پر اصرار کریں۔ نجی ہسپتالوں کے لئے ، سرٹیفکیٹ کی طباعت(printed) شدہ کاپی فراہم کرنے کے لئے معاوضے ٹیکے لگانے کے لئے سروس چارج میں شامل ہیں۔
Where can I download vaccination certificate from?,میں کہاں سے ویکسی نیشن سرٹیفکیٹ ڈاؤن لوڈ کرسکتا ہوں؟
Vaccination,ویکسینیشن
Vaccine Certificate,ویکسین سند
Reporting Side effects,مضر ا(Harmful)ثرات کی اطلاع دینا
You can download vaccination certificate from the Co-WIN portal (cowin.gov.in) or the Aarogya Setu app or through Digi-Locker by following the simple steps.,آپ کوقومی وین پورٹل (cowin.gov.in) یا آروگیا سیٹو ایپ سے یا ڈیجی لاکر کے ذریعے آسان اقدامات پر عمل کرکے ویکسینیشن سرٹیفکیٹ ڈاؤن لوڈ کرسکتے ہیں۔
You may do so by using the mobile number used at the time of registration.,آپ داخل کے وقت استعمال ہونے والے موبائل نمبر کا استعمال کرکے ایسا کرسکتے ہیں۔
In this context the certificate issued by Co-WIN has built in security features to guarantee genuineness of the certificate which can be digitally verified using approved utilities which are provided in Co-WIN portal.,اس تناظر میں ، Co-WIN کے ذریعہ جاری کردہ سرٹیفکیٹ میں حفاظتی خصوصیات کی تشکیل کی گئی ہے تاکہ سند کی تصدیق کی جاسکے جس کی منظوری شدہ افادیت (فائدہ)کا استعمال کرتے ہوئے ڈیجیٹل تصدیق کی جاسکتی ہے جو Co-WIN پورٹل میں فراہم کی جاتی ہیں۔
Is vaccination free at all vaccination centres?,کیا تمام ویکسینیشن مراکز میں ویکسینیشن مفت ہے؟
"No. Currently, vaccination is free at Government hospitals and charged at INR 250 in Private hospitals for citizens aged 45 years and above.",نہیں۔ فی الحال ، سرکاری اسپتالوں میں ویکسینیشن مفت ہے اور 45 سال یا اس سے زیادہ عمر کے شہریوں کے لئے نجی ہسپتالوں میں 250 روپے INR سے وصول کیا جاتا ہے۔
"From 1st May onwards, the Vaccination for people of 45 years or more will continue to be free at the Government facilities",1 مئی سے ، 45 سال یا اس سے زیادہ عمر کے لوگوں کے لئے سرکاری سہولیات پر مفت میں  ویکسینیشن  جاری رہے گی
For people between 18 to 44 years the States will announce the policy relating to payment. Vaccination will be priced by private facilities and you can see the price of each vaccine at the time of booking.,18 سے 44 سال کے درمیان لوگوں کے لئے States ادائیگی سے متعلق پالیسی کا اعلان کریں گی۔ ویکسینیشن کی قیمت نجی سہولیات کے ذریعہ ہوگی اور آپ بکنگ کے وقت ہر ویکسین کی قیمت دیکھ سکتے ہیں۔
Vaccination will be priced by private facilities and you can see the price of each vaccine at the time of booking.,ویکسینیشن کی قیمت ( private facilities) نجی سہولیات کے ذریعہ ہوگی اور آپ بکنگ کے وقت ہر ویکسین کی قیمت دیکھ سکتے ہیں۔
"The Vaccination Centres have been directed to ensure that if a citizen is being vaccinated with 2nd dose, they should confirm that the first dose vaccination was done with the same vaccine as is being offered at the time of second dose and that the first dose was administered more than 28 days ago.",ویکسینیشن (Centres) سینٹر کو ہدایت دی گئی ہے کی اگر کسی شہری کو دوسری خوراک کی ویکسین دی جارہی ہو تو وہ اس بات کی تصدیق کریں کی پہلی خوراک کی ویکسی نیشن اسی ویکسین کے ساتھ کی گئی تھی جو دوسری خوراک کے وقت پیش کی جارہی تھی اور یہ 28 دن سے زیادہ پہلے خوراک دی گئی تھی۔ 
You should share the correct information about the vaccine type and the date of 1st dose vaccination with the vaccinator.,آپ کو ویکسینیٹر کے ساتھ ویکسین کی قسم اور پہلی خوراک ویکسینیشن کی تاریخ کے بارے میں صحیح معلومات بتانا چاہئے.۔
You should carry your vaccine certificate issued after the first dose.,آپ کو پہلی خوراک کے بعد دیا گیا ویکسین کا سرٹیفکیٹ اپنے ساتھ رکھنا چاہئے۔
Can I check the price of the vaccine?,کیا میں ویکسین کی قیمت چیک کرسکتا ہوں؟
Frequently Asked Questions on Co-WIN,Co-WIN پر اکثر پوچھے گئے سوالات
Yes. The System will show the price of the vaccine below the name of the vaccination centre at the time of scheduling an appointment.,جی ہاں.جب کوئی ( appointment) ملاقات کا شیڈول کرتے وقت سسٹم ویکسینیشن سینٹر کے نام کے نیچے ویکسین کی قیمت دکھائے گا
Can I choose the vaccine?,کیا میں ویکسین کا انتخاب (choose) کرسکتا ہوں؟
"System will show the vaccine being administered in each vaccination centre at the time of scheduling an appointment. Citizen can choose the vaccination centre as per their choice of vaccine being administered However, the choice will not be available at the Government facilities .","اپوینتمنٹ شیڈیول کرتے وقت نظام دکھائیگا کی ویکسینیشن سینٹر میں دے جا رہے ویکسین کو دکھائیگا. شہری اپنے پسند کےمتابِک  ویکسینیشن سینٹر کا انتخاب کر سکتے ہیں, ہالانکی, انتخاب  پر سرکاری سہولیات  نہیں ہوگا"
What precautions should I take at the time of 2nd dose vaccination?,دوسری خوراک کی ویکسینیشن کے وقت مجھے کیا احتیاط برتنی چاہئے؟
"The Vaccination Centres have been directed to ensure that if a citizen is being vaccinated with 2nd dose, they should confirm that the first dose vaccination was done with the same vaccine as is being offered at the time of second dose and that the first dose was administered more than 28 days ago. You should share the correct information about the vaccine type and the date of 1st dose vaccination with the vaccinator. You should carry your vaccine certificate issued after the first dose.",ویکسینیشن (Centres) سینٹر کو ہدایت دی گئی ہے کی اگر کسی شہری کو دوسری خوراک کی ویکسین دی جارہی ہو تو وہ اس بات کی تصدیق کریں کی پہلی خوراک کی ویکسی نیشن اسی ویکسین کے ساتھ کی گئی تھی جو دوسری خوراک کے وقت پیش کی جارہی تھی اور یہ 28 دن سے زیادہ پہلے خوراک دی گئی تھی۔ آپ کو ویکسینیٹر کے ساتھ ویکسین کی قسم اور پہلی خوراک ویکسینیشن کی تاریخ کے بارے میں صحیح معلومات بتانا چاہئے.۔آپ کو پہلی خوراک کے بعد دیا گیا ویکسین کا سرٹیفکیٹ اپنے ساتھ رکھنا چاہئے۔
Can I get vaccinated with 2nd dose in a different State/District?, کیا میں مختلف اسٹیٹ / ضلع میں دوسری خوراک کے ساتھ ویکسین لے سکتا ہوں؟
"Yes, you can get vaccinated in any State/District. The only restriction is that you will be able to get vaccinated only on those centres which are offering the same vaccine as was administered to you on your first dose.",ہاں ، آپ کسی بھی  اسٹیٹ / ضلع میں ویکسین لے سکیں گے۔ صرف پابندی یہ ہے کہ آپ صرف ان  (Centres) سینٹر پر ہی ویکسین لے سکیں گے جو وہی ویکسین پیش کررہے ہیں جو آپ کو پہلی خوراک پر دیا گیا تھا۔
Which documents should I carry with me for vaccination?,ویکسینیشن کے لئے میں اپنے ساتھ کون سے دستاویزات لے کر چلوں؟
You should carry your identity proof specified by you at the time of registration on the Co-WIN portal and a printout/screenshot of your appointment slip.,Co-WIN پورٹل پر اندراج کے وقت آپ کے ذریعہ بیان کردہ شناختی ثبوت اور اپنی تقرری پرچی کا پرنٹ آؤٹ / اسکرین شاٹ اپنے ساتھ رکھیں۔
"I have registered myself on Co-Win portal. However, I am not able to make any booking as I do not see any vaccination facility near my location?",میں نے خود Co-Win پورٹل پر رجسٹرڈ کرایا ہے۔ تاہم ، میں کوئی بکنگ کرنے کے قابل نہیں ہوں کیوں کہ مجھے اپنے مقام کے قریب ویکسینیشن کی کوئی سہولت نظر نہیں آرہی ہے۔
"Yes, it is possible that no facility near your place has published their vaccination program as yet. You may wait for some time till vaccination facilities near your place are onboarded on Co-Win platform, become active and start their services.",ہاں ، یہ ممکن ہے کہ آپ کے مقام کے قریب موجود کسی بھی سہولت نے ابھی تک ان کے ویکسینیشن کا پروگرام شائع نہیں کیا ہے۔ آپ کچھ دیر انتظار کر سکتے ہیں یہاں تک کہ آپ کی جگہ کے قریب ویکسینیشن کی سہولیات کو CoWin پلیٹ فارم پر سوار ہوجائیں ، متحرک ہوجائیں اور ان کی خدمات کا آغاز کریں۔
2nd dose scheduling,دوسرا dose شیڈولنگ
Is it necessary to take 2nd dose of vaccination?,کیا دوسری خوراک کا ٹیکہ لینا ضروری ہے؟
Yes. It is recommended that both doses of vaccine should be taken for realising the full benefit of vaccination. Both doses must be of the same vaccine type.,جی ہاں. یہ سفارش کی جاتی ہے کہ ویکسین کے مکمل فوائد حاصل کرنے کے لئے  دونوں ویکسین ڈوز لینی چاہئیں۔ دونوں خوراکیں ایک ہی قسم کی ویکسین کی ہونی چاہے۔
When should I take the 2nd dose of vaccination?,مجھے ویکسینیشن کی دوسری خوراک کب لینا چاہئے؟
Will my 2nd dose appointment be automatically scheduled by Co-WIN system?,کیا میری دوسری خوراک کی تقرری کا تعین Co-Win سسٹم کے ذریعہ خود بخود ہوگا؟
No. You have to take an appointment for the 2nd dose vaccination. The Co-WIN system will help you book an appointment in a Vaccination Centre where the same vaccine is being administered as the vaccine type (COVAXIN or COVISHIELD) of the 1st dose.,نہیں ، آپ کو دوسری خوراک کی ویکسینیشن کے لئے اپوائنٹمنٹ لینا ہوگی۔ Co-WIN سسٹم آپ کو ایک ویکسینیشن سینٹر میں ملاقات کا وقت لینے میں مدد فراہم کرے گا جہاں ایک ہی ویکسین پہلی خوراک ویکسین کی قسم (کوواکسن یا کوویشیلڈ) کے طور پر دی جارہی ہے۔
Whom can I contact if I have some problems related to my online registration of appointment?,اگر مجھے تقرری کی آن لائن رجسٹریشن سے متعلق کچھ مسائل ہیں تو میں کس سے رابطہ کرسکتا ہوں؟
You can call on the national helpline Ã¢â‚¬Ëœ1075Ã¢â‚¬â„¢ for information and guidance on COVID-19 vaccination and Co-WIN software related queries.,COVID-19 ویکسی نیشن اور Co-WIN سافٹ ویئر سے متعلق سوالات کے بارے میں معلومات اور رہنمائی کے لئے آپ نیشنل ہیلپ لائن Ã ¢1075 پر کال کرسکتے ہیں۔
Scheduling Appointment,"شیڈول ملاقات (Scheduling Appointment)
"
Can I book an appointment for vaccination in the Co-WIN portal?,کیا میں  Co-WIN پورٹل میں ویکسینیشن کے لئے ملاقات کا اندراج کروا سکتا ہوں؟
"Yes, you can book appointment for vaccination through Co-WIN portal after logging-in to the Co-WIN Portal through your registered mobile number. The system will show vaccination centres that allow vaccination as per the age of the citizen entered in the registration portal.",ہاں ، آپ اپنے رجسٹرڈ موبائل نمبر کے ذریعے Co-WIN پورٹل میں لاگ ان کرنے کے بعد کو ون پورٹل کے ذریعہ ویکسینیشن کے لئے اپائنٹمنٹ بک کرسکتے ہیں۔ یہ نظام ویکسینیشن سینٹر دکھائے گا جو رجسٹریشن پورٹل میں رجسٹرڈ شہری کی عمر کے مطابق ویکسینیشن کی اجازت دیتا ہے۔
What are the options if one citizen is aged 45 or above and other is aged 18 or above?,اگر ایک شہری کی عمر 45 یا اس سے زیادہ ہے اور دوسرا 18 سال یا اس سے زیادہ ہے تو پھر آپشن کیا ہیں؟
"If one citizen is aged 45 or above and other citizen is aged 18 to 44 years and both want to schedule a combined appointment, then only private paid vaccination centres or vaccination centres as per Stateâ€™s policy will be made available. However, it may happen that some hospitals which are catering to people with 45 years or more may not allow the booking of appointments for people with lesser age. In that case you may make bookings one by one.",اگر ایک شہری کی عمر 45 سال یا اس سے زیادہ ہے اور دوسرا شہری 18 سے 44 سال کی ہے اور دونوں مشترکہ ملاقات کا شیڈول بنانا چاہتے ہیں تو ریاستی پالیسی کے مطابق صرف نجی ادائیگی شدہ حفاظتی ٹیکوں کے مراکز یا حفاظتی ٹیکوں کے مراکز فراہم کریں گے۔ تاہم ، یہ ہوسکتا ہے کہ کچھ ہسپتال جو 45 سال یا اس سے زیادہ عمر کے لوگوں کی خدمت کرتے ہیں ان میں سے کم عمر افراد کے لئے تقرری کی بکنگ کی اجازت نہیں ہوسکتی ہے۔ اس صورت میں ، آپ ایک ایک کرکے بکنگ کرسکتے ہیں۔
Can I check the vaccine being administered at each vaccination centre?,کیا میں ہر ویکسینیشن سینٹر میں دی جانے والی ویکسین کی جانچ کرسکتا ہوں؟
"Yes, while scheduling an appointment for vaccination, the system will show vaccination centre names along with the name of the vaccine that will be administered in case of private hospitals. Government hospitals may not show the name of the vaccine.",ہاں ، جب ویکسینیشن کے لئے کسی (appointment )ملاقات کا شیڈول مرتب ہوتا ہے تو ، یہ نظام ویکسین کے نام کے ساتھ ساتھ ویکسینیشن سینٹر کا نام بھی دکھائے گا جو نجی اسپتالوں کے معاملے میں چلایا جائے گا۔ سرکاری اسپتال ویکسین کا نام نہیں دکھا سکتے۔
Can I download appointment slip?,کیا میں ملاقات(Appointment) پرچی ڈاؤن لوڈ کر سکتا ہوں؟
"Yes, the appointment slip can be downloaded after the appointment has been scheduled.",ہاں ، تقرری (appointment ) شیڈول کے بعد تقرری (appointment ) کی پرچی ڈاؤن لوڈ کی جاسکتی ہے۔
How can I find the nearest vaccination centre?,میں قریب ترین ویکسی نیشن سینٹر کیسے تلاش کرسکتا ہوں؟
Search by PIN,پن(PIN) کے ذریعہ تلاش کریں
Search by District,ضلع (District) کے ذریعہ تلاش کریں
You can search in Co-WIN portal (or Aarogya Setu) for the vaccination centre nearest to your location by either searching through PIN code or by choosing the State and the District.,آپ Co-WIN (یا اروگیا سیٹو) میں پن کوڈ کے ذریعے اپنے مقام کے قریب ترین ایک ویکسی نیشن سینٹر تلاش کرسکتے ہیں یا ریاست اور ضلع کا انتخاب کرسکتے ہیں۔
Can I reschedule my appointment?,کیا میں اپنی تقرری (appointment) کا نظام الاوقات (reschedule ) مقرر کرسکتا ہوں؟
"The appointment can be rescheduled at any time. In case you are not able to go for vaccination on the date of appointment, you can reschedule the appointment by clicking on Ã¢â‚¬Å“RescheduleÃ¢â‚¬Â tab.","کسی بھی وقت ملاقات (appointment) کا وقت مقرر کیا جاسکتا ہے۔ اگر آپ تقرری کی تاریخ پر ویکسینیشن کے لئے نہیں جاسکتے ہیں تو ، آپ ""دوبارہ شیڈیول"" ٹیب پر کلک کرکے تقرری کا نظام الاوقات مرتب کرسکتے ہیں۔"
Do I have an option for cancellation of appointment?,کیا میرے پاس یہ اختیار ہے کہ وہ ملاقات کو منسوخ  (cancel) کردے؟
What if I cannot go for vaccination on the date of appointment,کیا ہوگا اگر میں تقرری کی تاریخ پر ویکسینیشن کے لئے نہیں جاسکتا ہوں
"Yes, you can cancel an appointment already scheduled. You can also reschedule the appointment and choose another date or time slot of your convenience.",ہاں ، آپ پہلے سے طے شدہ ملاقات کو منسوخ کرسکتے ہیں۔ آپ اپنی سہولت کے ل appoint تقرریوں کا نظام الاوقات بھی مقرر کرسکتے ہیں اور کسی اور تاریخ یا وقت کی سلاٹ کا انتخاب (choose) کرسکتے ہیں۔
Where will I receive confirmation of date and time of vaccination?,مجھے ویکسینیشن کی تاریخ اور وقت کی تصدیق کہاں کرسکتا ہوں؟
"Once an appointment is scheduled, you will receive the details of the vaccination centre, date and time slot chosen for appointment in an SMS sent to your registered mobile number. You can also download the appointment slip and print it or keep it on your smart phone.",ایک مرتبہ ملاقات (appointment ) کا شیڈول طے ہوجانے کے بعد ، آپ کو اپنے رجسٹرڈ موبائل نمبر پر بھیجے گئے ایس ایم ایس میں ، ویکسینیشن سینٹر ، ملاقات کے لئے منتخب کردہ تاریخ اور وقت کی سلاٹ کی تفصیلات موصول ہوں گی۔ آپ تقرری کی پرچی بھی ڈاؤن لوڈ کرسکتے ہیں اور اسے پرنٹ کرسکتے ہیں یا اپنے سمارٹ فون پر رکھ سکتے ہیں۔
Can I get vaccination without appointment?,کیا میں ملاقات (appointment) کے بغیر ویکسین لے سکتا ہوں؟
Citizens aged 45 years and above can schedule appointments online or walk-in to vaccination centres.,45 سال یا اس سے زیادہ عمر کے شہری ویکسینیشن مراکز میں آن لائن ملاقات کے لئے شیڈول کرسکتے ہیں۔
"Citizens aged 18-44 years should mandatorily register themselves and schedule appointment online before vaccination.However, all citizens are recommended to register online and schedule vaccination in advance for a hassle-free vaccination experience.",18-44  سال کی عمر کے شہریوں کو لازمی طور پر ٹیکے لگانے سے قبل اپنی رجسٹریشن اور آن لائن ملاقات (appointment ) کا شیڈول ضرور بنانا چاہئے۔ تاہم ، تمام شہریوں کو مشورہ دیا جاتا ہے کہ وہ کسی پریشانی سے پاک ویکسی نیشن کے تجربے کے نے پہلے آن لائن اندراج کروائیں اور ویکسینیشن تجویز کرنے کی سفارش کی جاتی ہے۔
Can I check the price of the vaccine?,کیا میں ویکسین کی قیمت چیک کرسکتا ہوں؟
Yes. The System will show the price of the vaccine below the name of the vaccination centre at the time of scheduling an appointment.,جی ہاں. جب کسی ملاقات (appointment) کا شیڈول کرتے وقت ، نظام ویکسینیشن سینٹر کے نام سے ویکسین کی قیمت دکھائے گا۔
Can I choose the vaccine?,کیا میں ویکسین کا انتخاب (choose ) کرسکتا ہوں؟
"System will show the vaccine being administered in each vaccination centre at the time of scheduling an appointment. Citizen can choose the vaccination centre as per their choice of vaccine being administered However, the choice will not be available at the Government facilities .","اپوینتمنٹ شیڈیول کرتے وقت نظام دکھائیگا کی ویکسینیشن سینٹر میں دے جا رہے ویکسین کو دکھائیگا. شہری اپنے پسند کےمتابِک  ویکسینیشن سینٹر کا انتخاب کر سکتے ہیں, ہالانکی, انتخاب  پر سرکاری سہولیات  نہیں ہوگا"
What precautions should I take at the time of 2nd dose vaccination?,دوسری خوراک کی ویکسینیشن کے وقت مجھے کیا احتیاط برتنی چاہئے؟
"The Vaccination Centres have been directed to ensure that if a citizen is being vaccinated with 2nd dose, they should confirm that the first dose vaccination was done with the same vaccine as is being offered at the time of second dose and that the first dose was administered more than 28 days ago. You should share the correct information about the vaccine type and the date of 1st dose vaccination with the vaccinator. You should carry your vaccine certificate issued after the first dose.",ویکسینیشن (Centres) سینٹر کو ہدایت دی گئی ہے کی اگر کسی شہری کو دوسری خوراک کی ویکسین دی جارہی ہو تو وہ اس بات کی تصدیق کریں کی پہلی خوراک کی ویکسی نیشن اسی ویکسین کے ساتھ کی گئی تھی جو دوسری خوراک کے وقت پیش کی جارہی تھی اور یہ 28 دن سے زیادہ پہلے خوراک دی گئی تھی۔ آپ کو ویکسینیٹر کے ساتھ ویکسین کی قسم اور پہلی خوراک ویکسینیشن کی تاریخ کے بارے میں صحیح معلومات بتانا چاہئے.۔آپ کو پہلی خوراک کے بعد دیا گیا ویکسین کا سرٹیفکیٹ اپنے ساتھ رکھنا چاہئے۔
Can I get vaccinated with 2nd dose in a different State/District?, کیا میں مختلف اسٹیٹ / ضلع میں دوسری خوراک کے ساتھ ویکسین لے سکتا ہوں؟
"Yes, you can get vaccinated in any State/District. The only restriction is that you will be able to get vaccinated only on those centres which are offering the same vaccine as was administered to you on your first dose.",ہاں ، آپ کسی بھی  اسٹیٹ / ضلع میں ویکسین لے سکیں گے۔ صرف پابندی یہ ہے کہ آپ صرف ان  (Centres) سینٹر پر ہی ویکسین لے سکیں گے جو وہی ویکسین پیش کررہے ہیں جو آپ کو پہلی خوراک پر دیا گیا تھا۔
Which documents should I carry with me for vaccination?,ویکسینیشن کے لئے میں اپنے ساتھ کون سے دستاویزات لے کر چلوں؟
You should carry your identity proof specified by you at the time of registration on the Co-WIN portal and a printout/screenshot of your appointment slip.,Co-WIN پورٹل پر اندراج کے وقت آپ کے ذریعہ بیان کردہ شناختی ثبوت اور اپنی تقرری پرچی کا پرنٹ آؤٹ / اسکرین شاٹ اپنے ساتھ رکھیں۔
"I have registered myself on Co-Win portal. However, I am not able to make any booking as I do not see any vaccination facility near my location?",میں نے خود Co-Win پورٹل پر رجسٹرڈ کرایا ہے۔ تاہم ، میں کوئی بکنگ کرنے کے قابل نہیں ہوں کیوں کہ مجھے اپنے مقام کے قریب ویکسینیشن کی کوئی سہولت نظر نہیں آرہی ہے۔
"What should I do?  Yes, it is possible that no facility near your place has published their vaccination program as yet. You may wait for some time till vaccination facilities near your place are onboarded on Co-Win platform, become active and start their services.",ہاں ، یہ ممکن ہے کہ آپ کے مقام کے قریب موجود کسی بھی سہولت نے ابھی تک ان کے ویکسینیشن کا پروگرام شائع نہیں کیا ہے۔ آپ کچھ دیر انتظار کر سکتے ہیں یہاں تک کہ آپ کی جگہ کے قریب ویکسینیشن کی سہولیات کو CoWin پلیٹ فارم پر سوار ہوجائیں ، متحرک ہوجائیں اور ان کی خدمات کا آغاز کریں۔
C. 2nd dose scheduling,دوسرا dose شیڈولنگ
Is it necessary to take 2nd dose of vaccination?,کیا دوسری خوراک کا ٹیکہ لینا ضروری ہے؟
Yes. It is recommended that both doses of vaccine should be taken for realising the full benefit of vaccination. Both doses must be of the same vaccine type.,جی ہاں. یہ سفارش کی جاتی ہے کہ ویکسین کے مکمل فوائد حاصل کرنے کے لئے  دونوں ویکسین ڈوز لینی چاہئیں۔ دونوں خوراکیں ایک ہی قسم کی ویکسین کی ہونی چاہے۔
