word,replacedWord
"There is no authorised mobile app for registering for vaccination in India except Aarogya Setu. You need to log into the Co-WIN portal. Alternatively, you can also register for vaccination through the Aarogya Setu App.",ആരോഗ്യ സേതു സ്മാര്‍ട്ട് ഫോണ്‍ ആപ്ലിക്കേഷന്‍ അല്ലാതെ പ്രതിരോധ കുത്തിവയ്പിനായി അംഗീകൃത മൊബൈൽ ആപ്ലിക്കേഷൻ ഒന്നുംതന്നെയില്ല. കോവിഡ്-19 കുത്തിവയ്പിനായി നിങ്ങള്‍ക്ക് കോവിന്‍ പോര്‍ട്ടലില്‍ പ്രവേശിക്കേണ്ടത് ആവശ്യമാണ്. കോവിന്‍ പോര്‍ട്ടലിനു്  പകരമായി ആരോഗ്യ സേതു ആപ്ലിക്കേഷന്‍ വഴിയും  നിങ്ങള്‍ക്ക് രജിസ്റ്റര്‍ ചെയ്യാം.
Which age groups can register for vaccination on the Co-WIN portal?,ഏത് പ്രായക്കാര്‍ക്കുമുതല്‍ കോവിൻ പോർട്ടലിൽ കുത്തിവയ്പിനായി രജിസ്റ്റർ ചെയ്യാൻ സാധിക്കും?
All citizens aged 18 years and above can register for vaccination,18 വയസ്സും അതിൽ കൂടുതലുമുള്ള എല്ലാവര്‍ക്കും കുത്തിവയ്പിനായി രജിസ്റ്റർ ചെയ്യാം
How many people can be registered in the Co-WIN portal through one mobile number?,ഒരു മൊബൈൽ നമ്പർ ഉപയോഗിച്ച് എത്ര പേരെ  കോ-വിൻ പോർട്ടലിൽ രജിസ്റ്റർ ചെയ്യാൻ കഴിയും?
Up to 4 people can be registered for vaccination using the same mobile number.,ഒരു മൊബൈൽ നമ്പർ ഉപയോഗിച്ച് 4 പേരെ വരെ കുത്തിവയ്‌പിനായി രജിസ്റ്റർ ചെയ്യാം
How can citizens with no access to smart phones or computers manage online registration?,സ്മാർട്ട് ഫോണുകളോ കമ്പ്യൂട്ടറോ ലഭ്യമല്ലാത്തവര്‍ക്ക് എങ്ങനെ ഓൺലൈൻ രജിസ്ട്രേഷൻ ചെയ്യാന്‍ സാധിക്കും?
Up to 4 people can be registered for vaccination using the same mobile number,ഒരു മൊബൈൽ നമ്പർ ഉപയോഗിച്ച് 4 പേരെ വരെ കുത്തിവയ്‌പിനായി രജിസ്റ്റർ ചെയ്യാം
Citizens can take help from friends or family for online registration,കുത്തിവയ്‌പിനായുള്ള ഓൺലൈൻ  രജിസ്റ്റര്‍ ചെയ്യുന്നതിന്  സുഹൃത്തുക്കളിൽ നിന്നോ കുടുംബത്തിലുള്ള മറ്റുള്ളവര്‍ വഴിയോ സഹായം സ്വീകരിക്കാം
Can I register for vaccination without Aadhaar card?,ആധാര്‍ കാര്‍ഡ് ഇല്ലാതെ കുത്തിവയ്‌പ്‌  എടുക്കാന്‍ സാധിക്കുമോ?
"Yes, you can register on Co-WIN portal using any of the following ID proofs","അതെ, ആധാര്‍ അല്ലാതെ താഴെ തന്നിരിക്കുന്ന തിരിച്ചറിയല്‍ രേഖകള്‍ ഉപയോഗിച്ച് കോവിന്‍ പോര്‍ട്ടലില്‍ രജിസ്റ്റര്‍ ചെയ്യാം"
Aadhaar card,ആധാർ കാർഡ്
Driving License,ഡ്രൈവിംഗ് ലൈസൻസ്
PAN card,പാൻ കാർഡ്
Passport,പാസ്പോർട്ട്
Pension Passbook,പെൻഷൻ പാസ്ബുക്ക്
NPR Smart Card,എൻ പി ആർ സ്മാർട്ട് കാർഡ്
Voter ID,വോട്ടര്‍ ഐഡി
Is there any registration charges to be paid?,രജിസ്റ്റര്‍ ചെയ്യുന്നതിനായി എന്തെങ്കിലും പണം നല്കേണ്ടതുണ്ടോ?
No. There is no registration charge.,വേണ്ട. രജിസ്ട്രേഷന് പണം നല്കേണ്ടതില്ല
Whom do I contact in case of side effects from vaccination,കുത്തിവയ്‌പിന് ശേഷം എന്തെങ്കിലും പാര്‍ശ്വപലങ്ങള്‍ ഉണ്ടായാല്‍ ആരെ ബന്ധപ്പെടണം?
Why do I need a vaccination certificate?,കുത്തിവയ്‌പിനായുള്ള സാക്ഷ്യപത്രം ആവശ്യമായിവരുന്നതെന്തിനാണ്?
"A COVID Vaccine Certificate (CVC) issued by the government offers an assurance to the beneficiary on the vaccination, type of vaccine used, and the provisional certificate also provides the next vaccination due","സർക്കാർ നല്കുന്ന കോവിഡ് വാക്സിൻ സർട്ടിഫിക്കറ്റ് (സിവിസി) കുത്തിവയ്‌പിനെയും, വാക്സിനെയും പറ്റി ഗുണഭോക്താവിന് ഒരു ഉറപ്പ് നൽകുന്നു. കൂടാതെ അടുത്ത കുത്തിവയ്പിനായുള്ള  സമയം  താൽക്കാലിക സർട്ടിഫിക്കറ്റു്  ലഭ്യമാക്കുന്നു."
It also is an evidence for the citizen to prove to any entities which may require proof of vaccination specially in case of travel,ഏതെങ്കിലും സ്ഥാപനങ്ങളിലോ മറ്റെവിടേയ്ക്കെങ്കിലും യാത്രചെയ്യുമ്പോഴോ  പ്രത്യേകമായി പ്രതിരോധ കുത്തിവയ്പ് ആവശ്യമായി വന്നേക്കാം. അത്തരം സന്ദര്‍ഭങ്ങളില്‍ തെളിവായി ഈ സാക്ഷ്യപത്രം ഉപയോഗിക്കാം
"Vaccination not only protects individuals from disease, but also reduces their risk of spreading the virus. Therefore, there could be a requirement in future to produce certificate for certain kind of social interactions and international travel.","പ്രതിരോധ കുത്തിവയ്പ് വ്യക്തികളെ രോഗത്തിൽ നിന്ന് സംരക്ഷിക്കുക മാത്രമല്ല, സമൂഹത്തിലേയ്ക്ക് വൈറസ് പടരാനുള്ള സാധ്യത കുറയ്ക്കുകയും ചെയ്യുന്നു. അതിനാൽ, ഭാവിയില്‍ ഏതെങ്കിലും പൊതുചടങ്ങുകളില്‍ പങ്കുചേരുവാനോ വിദേശ യാത്രകള്‍ക്കോ പ്രതിരോധ കുത്തിവയ്പ് എടുത്ത സാക്ഷ്യപത്രം ഹാജരാക്കേണ്ടിവരാം."
"Therefore, there could be a requirement in future to produce certificate for certain kind of social interactions and international travel."," അതിനാൽ,  ഭാവിയില്‍ ഏതെങ്കിലും പൊതുചടങ്ങുകളില്‍ പങ്കുചേരുവാനോ വിദേശ യാത്രകള്‍ക്കോ പ്രതിരോധ കുത്തിവയ്‌പ്‌  എടുത്ത സാക്ഷ്യപത്രം ഹാജരാക്കേണ്ടിവരാം."
Who is responsible for providing the vaccination certificate?,കുത്തിവയ്‌പിന് ശേഷം സാക്ഷ്യപത്രം നല്കാന്‍ ആര്‍ക്കാണ് ഉത്തരവാദിത്വമുള്ളത്?
"The Vaccination Centre is responsible for generating your certificate and for providing a printed copy post vaccination on the day of vaccination itself. Please do insist on receiving the certificate at the Centre. For Private Hospitals, the charges for providing a printed copy of the certificate are included in the service charge for vaccination.","നിങ്ങളുടെ കോവിഡ് കുത്തിവെച്ച സാക്ഷ്യപത്രം  അച്ചടിച്ചുനല്കുവാന്‍ കുത്തിവയ്‌പ്‌ എടുത്ത  ദിവസം തന്നെ നല്കുവാനും  രണ്ടാമത്തെ കുത്തിവെപ്പ്  നൽകുന്നതിനും കുത്തിവെപ്പ് കേന്ദ്രത്തിന് ഉത്തരവാദിത്തമുണ്ട്. കുത്തിവെപ്പ് കേന്ദ്രത്തിൽ നിന്നും സാക്ഷ്യപത്രം  ദയവായി നിർബന്ധിച്ചു് വാങ്ങിക്കുക. സ്വകാര്യ ആശുപത്രികളെ സംബന്ധിച്ചിടത്തോളം, സർട്ടിഫിക്കറ്റിന്റെ അച്ചടിച്ച പകർപ്പ് നൽകുന്നതിനുള്ള നിരക്കുകൾ കുത്തിവയ്‌പിനുള്ള നിരക്കിൽ ഉൾപ്പെടുത്തിയിട്ടുള്ളതാണ്."
Where can I download vaccination certificate from?,എനിക്ക്  കുത്തിവയ്‌പിന് ശേഷമുള്ള സാക്ഷ്യപത്രം എവിടെ നിന്ന് ഡൌണ്‍ലോഡ് ചെയ്യാന്‍ സാധിക്കും?
Vaccination,കുത്തിവെയ്പ്
Vaccine Certificate,കുത്തിവയ്പ് സാക്ഷ്യപത്രം
Reporting Side effects,പാര്‍ശ്വഫലങ്ങള്‍ അറിയിക്കുക
You can download vaccination certificate from the Co-WIN portal (cowin.gov.in) or the Aarogya Setu app or through Digi-Locker by following the simple steps.,കോവിൻ പോർട്ടലിൽ (cowin.gov.in) നിന്നോ  ആരോഗ്യ സേതു മൊബൈല്‍  ആപ്ലിക്കേഷനിൽ നിന്നോ ഡിജി ലോക്കർ വഴിയോ കുത്തിവയ്പ് സാക്ഷ്യപത്രം വളരെ എളുപ്പത്തില്‍ ഡൌണ്‍ലോഡ് ചെയ്യാം
You may do so by using the mobile number used at the time of registration.,രജിസ്ട്രേഷന്‍ സമയത്ത് നല്കിയ മൊബൈല്‍ നമ്പര്‍  ഉപയോഗിച്ച് നിങ്ങള്‍ക്ക് അങ്ങനെ ചെയ്യാം
In this context the certificate issued by Co-WIN has built in security features to guarantee genuineness of the certificate which can be digitally verified using approved utilities which are provided in Co-WIN portal.,"ഈ സാഹചര്യത്തിൽ‌, കോവിന്‍ പോര്‍ട്ടല്‍ വഴി നല്കുന്ന സാക്ഷ്യപത്രം  സുരക്ഷാ വിശേഷണങ്ങളോടെ തയ്യാറാക്കിയതും  അവ്യാജമായതുമാണെന്ന് ഉറപ്പുനല്കുന്നതോടൊപ്പം അവ അംഗീകൃത സാങ്കേതികതകള്‍  ഉപയോഗിച്ച് ഡിജിറ്റലായി പരിശോധിച്ചുറപ്പിച്ചതുമാണ്"
Is vaccination free at all vaccination centres?,എല്ലാ കുത്തിവയ്പ് കേന്ദ്രങ്ങളിലും കുത്തിവയ്പ് സൌജന്യമാണോ?
"No. Currently, vaccination is free at Government hospitals and charged at INR 250 in Private hospitals for citizens aged 45 years and above.","അല്ല, നിലവില്‍ സര്‍ക്കാര്‍ ആശുപത്രികളില്‍ മാത്രമാണ് കുത്തിവയ്പ് സൌജന്യമായി ലഭിക്കുകയുള്ളൂ. 45 വയസ്സിന് മുകളിലുള്ളവര്‍ക്ക് സ്വകാര്യ ആശുപത്രികളില്‍ നിന്നു് 250 രൂപ നിരക്കില്‍ കുത്തിവയ്പ് എടുക്കാം"
"From 1st May onwards, the Vaccination for people of 45 years or more will continue to be free at the Government facilities",മെയ് 1 മുതല്‍ 45 വയസ്സോ അതിന് മുകളിലോ പ്രായമുള്ളവര്‍ക്ക് സര്‍ക്കാര്‍ സംവിധാനങ്ങളിലൂടെ സൌജന്യ കുത്തിവയ്പ് തുടരുന്നതാണ്.
For people between 18 to 44 years the States will announce the policy relating to payment. Vaccination will be priced by private facilities and you can see the price of each vaccine at the time of booking.,18നും 44നും ഇടയ്ക്കുള്ളവരുടെ കുത്തിവയ്പിന്റെ നയം അതത് സംസ്ഥാന സര്‍ക്കാര്‍ പ്രഖ്യാപിക്കും. സ്വകാര്യ സംവിധാനങ്ങള്‍ വഴിയുള്ള കുത്തിവയ്പിന് നിരക്കുകള്‍ സ്ഥാപനങ്ങള്‍ നിശ്ചയിക്കും. ഓരോ വാക്സിനുമുള്ള  നിരക്ക്  കുത്തിവയ്പ് മുന്‍കൂട്ടി ഉറപ്പാക്കുന്ന സമയത്ത് കാണാന്‍ സാധിക്കും.
Vaccination will be priced by private facilities and you can see the price of each vaccine at the time of booking.,സ്വകാര്യ സംവിധാനങ്ങള്‍ വഴിയുള്ള കുത്തിവയ്പിന് നിരക്കുകള്‍ സ്ഥാപനങ്ങള്‍ നിശ്ചയിക്കും. ഓരോ വാക്സിനുമുള്ള  നിരക്ക്  കുത്തിവയ്പ് മുന്‍കൂട്ടി ഉറപ്പാക്കുന്ന സമയത്ത് കാണാന്‍ സാധിക്കും.
"The Vaccination Centres have been directed to ensure that if a citizen is being vaccinated with 2nd dose, they should confirm that the first dose vaccination was done with the same vaccine as is being offered at the time of second dose and that the first dose was administered more than 28 days ago.","ഒരാള്‍ക്ക് രണ്ടാമത്തെ മാത്ര കുത്തിവയ്പ് എടുക്കുമ്പോള്‍ രണ്ടാമത്തെ മാത്ര നല്കുന്ന സമയത്ത് ചെയ്യുന്ന അതേ വാക്സിൻ ഉപയോഗിച്ചാണ് ആദ്യത്തെ മാത്ര കുത്തിവയ്പ് നടത്തിയതെന്നും ആദ്യത്തെ കുത്തിവയ്പ് നൽകിയതാണെന്നും, ആദ്യത്തെ കുത്തിവയ്പ്  എടുത്തിട്ട് 28 ദിവസത്തില്‍ കൂടുതലായി എന്നും  ഉറപ്പുവരുത്താൻ കുത്തിവയ്പ് കേന്ദ്രങ്ങള്‍ക്ക്  നിർദ്ദേശം നൽകിയിട്ടുണ്ട്. "
You should share the correct information about the vaccine type and the date of 1st dose vaccination with the vaccinator.,ഒന്നാമതായി കുത്തിവെച്ച  വാക്സിൻ ഏതാണെന്നും  ഒന്നാം മാത്ര കുത്തിവയ്പ് നടത്തിയ തിയ്യതി എന്നാണെന്നുമുള്ളതിനെക്കുറിച്ചു് ശരിയായ വിവരങ്ങൾ നിങ്ങൾ വാക്സിന്‍ കുത്തിവയ്ക്കുന്നവരുമായി പങ്കിടണം.
You should carry your vaccine certificate issued after the first dose.,ആദ്യത്തെ കുത്തിവയ്പിന് ശേഷം ലഭിച്ച സാക്ഷ്യപത്രം കൈവശം വയ്ക്കണം.
Can I check the price of the vaccine?,എനിക്ക് വാക്സിന്റെ നിരക്ക് പരിശോധിക്കാമോ?
Frequently Asked Questions on Co-WIN,കോവിനിൽ പതിവായി ചോദിക്കുന്ന ചോദ്യങ്ങൾ
Yes. The System will show the price of the vaccine below the name of the vaccination centre at the time of scheduling an appointment.,അതെ. സന്ദര്‍ശന സമയം ഉറപ്പുവരുത്തുമ്പോള്‍  കുത്തിവയ്പ് കേന്ദ്രത്തിന്റെ പേരിന് താഴെയുള്ള വ്യത്യസ്ത വാക്സിനുകളുടെ വില  കാണാന്‍ സാധിക്കും
Can I choose the vaccine?,എനിക്ക് വാക്സിൻ തിരഞ്ഞെടുക്കാമോ?
"System will show the vaccine being administered in each vaccination centre at the time of scheduling an appointment. Citizen can choose the vaccination centre as per their choice of vaccine being administered However, the choice will not be available at the Government facilities .","ഒരു സന്ദര്‍ശനം നിശ്ചയിച്ചുകിട്ടുന്ന  സമയത്ത് ഓരോ കുത്തിവയ്പ് കേന്ദ്രത്തിലും വാക്സിൻ നൽകുന്നത് കമ്പ്യൂട്ടറില്‍ കാണിക്കും. വാക്സിൻ നൽകുന്നത് അനുസരിച്ച് പൗരന്മാർക്ക് കുത്തിവയ്പ് കേന്ദ്രം തെരഞ്ഞെടുക്കാം, തെരെഞ്ഞെടുക്കാനുള്ള ഈ സൌകര്യം സർക്കാർ കേന്ദ്രങ്ങളില്‍ ഉണ്ടായിരിക്കില്ല."
What precautions should I take at the time of 2nd dose vaccination?,രണ്ടാം മാത്ര കുത്തിവയ്പ്  സമയത്ത് ഞാൻ എന്ത് മുൻകരുതലുകൾ എടുക്കണം?
"The Vaccination Centres have been directed to ensure that if a citizen is being vaccinated with 2nd dose, they should confirm that the first dose vaccination was done with the same vaccine as is being offered at the time of second dose and that the first dose was administered more than 28 days ago. You should share the correct information about the vaccine type and the date of 1st dose vaccination with the vaccinator. You should carry your vaccine certificate issued after the first dose.","ഒരാള്‍ക്ക് രണ്ടാമത്തെ മാത്ര കുത്തിവയ്പ് എടുക്കുമ്പോള്‍ രണ്ടാമത്തെ മാത്ര നല്കുന്ന സമയത്ത് ചെയ്യുന്ന അതേ വാക്സിൻ ഉപയോഗിച്ചാണ് ആദ്യത്തെ മാത്ര കുത്തിവയ്പ് നടത്തിയതെന്നും ആദ്യത്തെ കുത്തിവയ്പ് നൽകിയതാണെന്നും, ആദ്യത്തെ കുത്തിവയ്പ്  എടുത്തിട്ട് 28 ദിവസത്തില്‍ കൂടുതലായി എന്നും  ഉറപ്പുവരുത്താൻ കുത്തിവയ്പ് കേന്ദ്രങ്ങള്‍ക്ക്  നിർദ്ദേശം നൽകിയിട്ടുണ്ട്.  ആദ്യത്തെ കുത്തിവയ്പിന് ശേഷം ലഭിച്ച സാക്ഷ്യപത്രം കൈവശം വയ്ക്കണം."
Can I get vaccinated with 2nd dose in a different State/District?,എനിക്ക് രണ്ടാമത്തെ മാത്ര കുത്തിവയ്പ്  മറ്റൊരു സംസ്ഥാനത്ത് / ജില്ലയിൽ നിന്ന് എടുക്കാമോ?
"Yes, you can get vaccinated in any State/District. The only restriction is that you will be able to get vaccinated only on those centres which are offering the same vaccine as was administered to you on your first dose.","അതെ, നിങ്ങൾക്ക് ഏത് സംസ്ഥാനത്തും / ജില്ലയില്‍ നിന്നും കുത്തിവയ്പ് എടുക്കാം. നിങ്ങളുടെ ആദ്യത്തെ മാത്ര കുത്തിവയ്പില്‍ നിങ്ങൾക്ക് നൽകിയ അതേ വാക്സിൻ വാഗ്ദാനം ചെയ്യുന്ന കേന്ദ്രങ്ങളിൽ നിന്ന് മാത്രമേ നിങ്ങൾക്ക് രണ്ടാം മാത്രാ പ്രതിരോധ കുത്തിവയ്പ് നടത്താൻ കഴിയൂ എന്നതാണ് ഏക നിയന്ത്രണം."
Which documents should I carry with me for vaccination?,കുത്തിവയ്പിനായി ഏത് രേഖകളാണ് ഞാൻ കൊണ്ടുപോകേണ്ടത്?
You should carry your identity proof specified by you at the time of registration on the Co-WIN portal and a printout/screenshot of your appointment slip.,കോ-വിൻ പോർട്ടലിൽ രജിസ്ട്രേഷൻ സമയത്ത് നിങ്ങൾ വ്യക്തമാക്കിയ തിരിച്ചറിയല്‍ രേഖയും നിങ്ങളുടെ സന്ദര്‍ശന സമയം രേഖപ്പെടുത്തിയ പ്രമാണം അച്ചടിച്ചതോ സ്ക്രീൻഷോട്ട് എടുത്തതോ നിങ്ങൾ കൈവശം വയ്ക്കണം.
"I have registered myself on Co-Win portal. However, I am not able to make any booking as I do not see any vaccination facility near my location?","കോ-വിൻ പോർട്ടലിൽ ഞാൻ സ്വന്തമായി രജിസ്റ്റർ ചെയ്തു. എന്നിട്ടും, എന്റെ സ്ഥലത്തിനടുത്ത് ഒരു കുത്തിവയ്പ് സൗകര്യവും കാണാത്തതിനാൽ എനിക്ക് കുത്തിവയ്പ് മുന്‍കൂട്ടി നിശ്ചയിക്കാന്‍ കഴിയില്ലേ?"
"Yes, it is possible that no facility near your place has published their vaccination program as yet. You may wait for some time till vaccination facilities near your place are onboarded on Co-Win platform, become active and start their services.","സാധിക്കും, നിങ്ങളുടെ സ്ഥലത്തിനടുത്തുള്ള ഒരു കുത്തിവയ്പ് കേന്ദ്രവും ഇതുവരെ അവരുടെ കുത്തിവയ്പ് പരിപാടി പ്രസിദ്ധീകരിച്ചിട്ടില്ല. നിങ്ങളുടെ സ്ഥലത്തിനടുത്തുള്ള കുത്തിവയ്പ് കേന്ദ്രങ്ങള്‍ അവരുടെ സേവനങ്ങൾ  സജീവമാവുകയും ആരംഭിക്കുകയും ചെയ്യുന്നമുറയ്ക്ക് കോ-വിൻ വെബ്‌സൈറ്റില്‍  കാണിക്കും അതുവരെ  നിങ്ങൾക്ക് കുറച്ച് സമയം കാത്തിരിക്കാം, "
2nd dose scheduling,രണ്ടാമത്തെ മാത്ര കുത്തിവയ്പ് സമയ ക്രമീകരണം
Is it necessary to take 2nd dose of vaccination?,രണ്ടാമത്തെ മാത്രാ കുത്തിവയ്പ് എടുക്കണമെന്ന് നിര്‍ബന്ധമുണ്ടോ?
Yes. It is recommended that both doses of vaccine should be taken for realising the full benefit of vaccination. Both doses must be of the same vaccine type.,അതെ. കുത്തിവയ്പിന്റെ പൂര്‍ണ്ണായി ഫലം ലഭിക്കുന്നതിന് രണ്ട് മാത്രാ കുത്തിവയ്പും എടുക്കുവാന്‍  ശുപാർശ ചെയ്യുന്നു. രണ്ട് മാത്രാ കുത്തിവയ്പുകളും  ഒരേ വാക്സിൻ തന്നെയായിരിക്കണം.
When should I take the 2nd dose of vaccination?,കുത്തിവയ്പിന്റെ രണ്ടാം മാത്ര ഞാൻ എപ്പോൾ എടുക്കണം?
Will my 2nd dose appointment be automatically scheduled by Co-WIN system?,എന്റെ രണ്ടാമത്തെ മാത്രാ കുത്തിവയ്പിന്റെ സന്ദര്‍ശന സമയ ക്രമീകരണം  കോ-വിൻ സംവിധാനം സ്വപ്രേരിതമായി ചെയ്യുമോ?
No. You have to take an appointment for the 2nd dose vaccination. The Co-WIN system will help you book an appointment in a Vaccination Centre where the same vaccine is being administered as the vaccine type (COVAXIN or COVISHIELD) of the 1st dose.,ഇല്ല. രണ്ടാമത്തെ മാത്രാ കുത്തിവയ്പിനായി നിങ്ങൾ ഒരു കൂടിക്കാഴ്ച ഒരുക്കണം. ഒന്നാം മാത്രാ കുത്തിവയ്പിന്റെ വാക്സിൻ തരം (COVAXIN അല്ലെങ്കിൽ COVISHIELD) പോലെ വാക്സിൻ നൽകുന്ന ഒരു കുത്തിവയ്പ് കേന്ദ്രത്തില്‍ ഒരു സന്ദര്‍ശനം മുന്‍കൂട്ടി ഉറപ്പിക്കുവാന്‍ കോ-വിൻ സിസ്റ്റം നിങ്ങളെ സഹായിക്കും.
Whom can I contact if I have some problems related to my online registration of appointment?, ഓൺലൈൻ അപ്പോയിന്റ്മെന്റ് രജിസ്ട്രേഷനുമായി ബന്ധപ്പെട്ടുള്ള  പ്രശ്നങ്ങൾ പരിഹരിക്കാൻ ഞാൻ ആരുമായി ബന്ധപ്പെടണം ?
You can call on the national helpline Ã¢â‚¬Ëœ1075Ã¢â‚¬â„¢ for information and guidance on COVID-19 vaccination and Co-WIN software related queries.,"COVID-19 വാക്സിനേഷൻ, കോവിൻ സോഫ്റ്റ്വെയർ എന്നിവയെക്കുറിച്ചുള്ള വിവരങ്ങൾക്കും മാർഗ്ഗനിർദ്ദേശങ്ങൾക്കും  നിങ്ങൾക്ക് ദേശീയ  ഹെൽപ്  ലൈൻ നമ്പറായ ----- ലേക്ക് വിളിക്കാവുന്നതാണ് ."
Scheduling Appointment,സമയവും സങ്കേതവും നിശ്ചയിക്കല്‍
Can I book an appointment for vaccination in the Co-WIN portal?,കുത്തിവെയ്പ്പിനായി കോ-വിൻ പോർട്ടലിൽ എനിക്ക് അപ്പോയിന്റ്മെന്റ് ബുക്ക് ചെയ്യാനാകുമോ ?
"Yes, you can book appointment for vaccination through Co-WIN portal after logging-in to the Co-WIN Portal through your registered mobile number. The system will show vaccination centres that allow vaccination as per the age of the citizen entered in the registration portal.","അതെ, നിങ്ങളുടെ രജിസ്റ്റർ ചെയ്ത മൊബൈൽ നമ്പർ വഴി കോ വിൻ പോർട്ടലിലേക്ക് ലോഗിൻ ചെയ്ത ശേഷം കോ വിൻ പോർട്ടൽ വഴി വാക്സിനേഷനായി അപ്പോയിന്റ്മെന്റ് ബുക്ക് ചെയ്യാം. രജിസ്ട്രേഷൻ പോർട്ടലിൽ പ്രവേശിച്ച വ്യക്തിയുടെ പ്രായത്തിനനുസരിച്ച് വാക്സിനേഷൻ അനുവദിക്കുന്ന കേന്ദ്രങ്ങൾ കോ വിൻ പോർട്ടലിൽ  കാണിക്കും."
What are the options if one citizen is aged 45 or above and other is aged 18 or above?,ഒരു വ്യക്തി 45 വയസ്സിനു മുകളിലുള്ള ആളോ  അല്ലെങ്കിൽ 18 വയസ്സിനു മുകളിലുള്ളതോ ആണെങ്കിൽ എന്തൊക്കെ ഓപ്ഷൻസ് ആണ് കോ വിൻ പോർട്ടലിൽ ഉള്ളത് ?
