word,replacedWord
"The Vaccination Centre is responsible for generating your certificate and for providing a printed copy post vaccination on the day of vaccination itself. Please do insist on receiving the certificate at the Centre. For Private Hospitals, the charges for providing a printed copy of the certificate are included in the service charge for vaccination.",રસીકરણ કેન્દ્ર  રસીકરણના દિવસે જ  રસીકરણ બાદ પ્રમાણપત્ર બનાવવા અને તેની છાપેલી નકલ તમને તે જ દિવસે આપવા જવાબદાર છે.કૃપા કરીને કેન્દ્રમાં પ્રમાણપત્ર મેળવવાનો આગ્રહ રાખો.ખાનગી હોસ્પિટલો માટે પ્રમાણપત્રની છાપેલ નકલ પ્રદાન કરવાના શુલ્કનો સમાવેશ રસીકરણ માટેના સેવા ચાર્જમાં કરવામાં આવે છે. ,  
Where can I download vaccination certificate from?,હું રસીકરણનું પ્રમાણપત્ર ક્યાંથી ડાઉનલોડ કરી શકુ? 
Vaccination,રસીકરણ 
Vaccine Certificate,રસીકરણ પ્રમાણપત્ર 
Reporting Side effects,આડઅસરની જાણ કરવી
You can download vaccination certificate from the Co-WIN portal (cowin.gov.in) or the Aarogya Setu app or through Digi-Locker by following the simple steps.,તમે  Co-WIN  પોર્ટલ(cowin.gov.in) અથવા આરોગ્ય સેતુ એપ્લિકેશન અથવા ડિજિ-લોકર દ્વારા સરળ પગલાંને અનુસરીને રસીકરણનું પ્રમાણપત્ર ડાઉનલોડ કરી શકો છો
You may do so by using the mobile number used at the time of registration.,તમે નોંધણી સમયે ઉપયોગમાં લેવાતા મોબાઇલ નંબરનો ઉપયોગ કરીને આવું કરી શકો છો
In this context the certificate issued by Co-WIN has built in security features to guarantee genuineness of the certificate which can be digitally verified using approved utilities which are provided in Co-WIN portal.,"આ સંદર્ભમાં Co - WIN દ્વારા આપવામાં આવેલ પ્રમાણપત્રમાં પ્રમાણપત્રની અસલિયતની બાંહેધરી માટે સુરક્ષા સુવિધાઓનું નિર્માણ કર્યુ છે ,કર્યુ છે જે , Co -WIN પોર્ટલમાં પુરા પાડવામાં આવતા યુટિલિટીનો ઉપયોગ કરીને ડિજીટલ રુપે ચકાસી શકાય છે."
Is vaccination free at all vaccination centres?,શું રસીકરણ બધા રસીકરણ કેન્દ્રો પર મફત છે
"No. Currently, vaccination is free at Government hospitals and charged at INR 250 in Private hospitals for citizens aged 45 years and above.","ના. હાલમાં, સરકારી દવાખાનાઓમાં રસીકરણ મફત છે અને 45 વર્ષ કે તેથી વધુ વયના નાગરિકો માટે ખાનગી હોસ્પિટલોમાં 250 રુપિયા ચાર્જ લેવામાં આવે છે"
"From 1st May onwards, the Vaccination for people of 45 years or more will continue to be free at the Government facilities",1 મે થી 45 વર્ષની વયથી વધુ વય ધરાવતા લોકો માટે રસી સરકારી સુવિધાઓ સાથે નિઃશુલ્ક ચાલુ રહેશે. 
For people between 18 to 44 years the States will announce the policy relating to payment. Vaccination will be priced by private facilities and you can see the price of each vaccine at the time of booking.,18 થી 44 વર્ષની વયના લોકો માટે રાજ્યો ચુકવણી સંબંધિત નીતિની જાહેરાત કરશે. રસીકરણની કિંમત ખાનગી સુવિધાઓ દ્વારા કરવામાં આવશે અને તમે બુકિંગ સમયે દરેક રસીના ભાવ જોઈ શકો છો
Vaccination will be priced by private facilities and you can see the price of each vaccine at the time of booking.,રસીકરણની કિંમત ખાનગી સુવિધાઓ દ્વારા કરવામાં આવશે અને તમે બુકિંગ સમયે દરેક રસીના ભાવ જોઈ શકો છો
"The Vaccination Centres have been directed to ensure that if a citizen is being vaccinated with 2nd dose, they should confirm that the first dose vaccination was done with the same vaccine as is being offered at the time of second dose and that the first dose was administered more than 28 days ago.","રસીકરણ કેન્દ્રોને સુચના આપવામાં આવી છે કે,જ્યારે કોઇ નાગરિકને રસીનો બીજો ડોઝ  આપવામાં આવે, તો ખાતરી કરવી જોઇએ કે પહેલી વખત જે રસી દ્વારા રસીકરણ કરવામાં આવ્યુ હોય,તે જ રસી બીજી વખતે આપવી જોઇએ  જે  28 દિવસ  પહેલા મુકવામાં આવી હતી."
You should share the correct information about the vaccine type and the date of 1st dose vaccination with the vaccinator.,તમારે તમને રસી આપનાર વ્યક્તિને પહેલી વખત આપવામાં આવેલ રસીના પ્રકાર અને તારીખ બાબતે માહિતગાર કરવા જોઇએ. 
You should carry your vaccine certificate issued after the first dose.,પ્રથમ ડોઝ પછીનું તમારુ રસીનું પ્રમાણપત્ર તમારે સાથે રાખવુ જોઇએ. 
Can I check the price of the vaccine?,શું હું રસીની કિંમત ચકાસી શકું
Frequently Asked Questions on Co-WIN,Co-WINના સંદર્ભે વારંવાર પુછવામાં આવતા પ્રશ્નો 
Yes. The System will show the price of the vaccine below the name of the vaccination centre at the time of scheduling an appointment.,"હા, તમને આપેલા એપોઇન્ટમેન્ટના સમયે સિસ્ટમ રસીકરણ કેન્દ્રના નામની નીચે રસીના ભાવ બતાવશે"
Can I choose the vaccine?,શું હું રસી પસંદ કરી શકું
"System will show the vaccine being administered in each vaccination centre at the time of scheduling an appointment. Citizen can choose the vaccination centre as per their choice of vaccine being administered However, the choice will not be available at the Government facilities .","એપોઇન્ટમેન્ટના સમયને નિશ્ચિત કરતી વખતે દરેક રસીકરણ કેન્દ્રમાં કઇ રસી આપવામાં આવશે તે  જણાવવામાં આવે છેંઆગરિક તેમણે જે રસી મુકાવવી હોય,તે પ્રમાણે રસીકરણકેન્દ્રને પસંદ કરી શકે છે. જોકે, પસંદગી સરકારી કેન્દ્રો પર ઉપલબ્ધ રહેશે નહીં. જણાવવામાં આવે છે. નાગરિક તેમની જે રસી મુકાવવી હોઇ, તે પ્રમાણે રસીકરણ કેન્દ્રને પસંદ કરી શકે છે. જોકે પસંદગી સરકારી કેન્દ્રો પર ઉપલબ્ધ રહેશે નહીં"
What precautions should I take at the time of 2nd dose vaccination?,રસીના બીજા ડોઝ સમયે મારે શું સાવચેતી રાખવી જોઇએ
"The Vaccination Centres have been directed to ensure that if a citizen is being vaccinated with 2nd dose, they should confirm that the first dose vaccination was done with the same vaccine as is being offered at the time of second dose and that the first dose was administered more than 28 days ago. You should share the correct information about the vaccine type and the date of 1st dose vaccination with the vaccinator. You should carry your vaccine certificate issued after the first dose.","રસીકરણ કેન્દ્રોને સુચના આપવામાં આવી છે કે જ્યારે કોઇ વ્યક્તિ રસીનો બીજો ડોઝ લેવા આવે,ત્યારે તેમણે ખાતરી કરવી જોઇએ કે પ્રથમ વખત આપવામાં આવી હોય, તે જ રસીનો બીજો ડોઝ આપવામાં આવે. અને પહેલા ડોઝને 28 દિવસ થયેલા હોવા જોઇએ. તમારે રસીના પ્રકાર અને પહેલી વખત મુકવામાં આવેલ રસીની તારીખની યોગ્ય માહિતી રસીકરણકર્તાને આપવી જોઇએ. પ્રથમ રસીકરણ બાદ તમને આપવામાં આવેલું રસીકરણનું પ્રમાણપત્ર સાથે રાખવુ જોઇએ."
Can I get vaccinated with 2nd dose in a different State/District?,શું હું રસીનો બીજો ડોઝ કોઇ અન્ય રાજ્ય કે જિલ્લામાં જઇને લઇ શકુ? 
"Yes, you can get vaccinated in any State/District. The only restriction is that you will be able to get vaccinated only on those centres which are offering the same vaccine as was administered to you on your first dose.","હા, તમે કોઇપણ રાજ્ય/જિલ્લામાં રસી લઇ શકો છો. તમારે એ જ ધ્યાન રાખવુ આવશ્યક છે કે પહેલી વખત જે રસીનો ડોઝ લીધો હોય,તે જ પ્રકારની રસીનો ડોઝ આપતા કેન્દ્ર પર તમારે રસી લેવી પડશે."
Which documents should I carry with me for vaccination?,રસીકરણ માટે મારે કયા દસ્તાવેજો સાથે રાખવા જોઈએ
You should carry your identity proof specified by you at the time of registration on the Co-WIN portal and a printout/screenshot of your appointment slip.,Co - WIN પોર્ટલ પર નોંધણી સમયે તમે આપેલ તમારા ઓળખપત્ર અને તમારી એપોઇન્ટમેન્ટની સ્લિપની પ્રિન્ટ આઉટ/ સ્ક્રીનશૉટ તમારી સાથે રાખવા જોઇએ
"I have registered myself on Co-Win portal. However, I am not able to make any booking as I do not see any vaccination facility near my location?","મેં કો-વિન પોર્ટલ પર મારી નોંધણી કરાવી છે. જો કે, હું મારા સ્થાનની નજીક કોઈ રસીકરણ સુવિધા જોતી નથી તેથી હું કોઈ બુકિંગ કરી શકું તેમ નથી"
"Yes, it is possible that no facility near your place has published their vaccination program as yet. You may wait for some time till vaccination facilities near your place are onboarded on Co-Win platform, become active and start their services.","હા, શક્ય છે કે તમારા  સ્થાનની નજીક રસીકરણ કાર્યક્રમની સુવિધા હજી પ્રકાશિત થઇ ન હોય, Co -WIN પ્લેટફોર્મ પર તમારા સ્થળની નજીક રસીકરણ સુવિધાઓ શરુ ન થાય ત્યાં સુધી તમે થોડા સમય  તેની સેવાઓ શરુ કરવા  સક્રિય બને તેની રાહ જુઓ"
2nd dose scheduling,બીજા ડોઝનો સમય નિશ્ચિત કરવો
Is it necessary to take 2nd dose of vaccination?,બીજો ડોઝ લેવો આવશ્યક છે? 
Yes. It is recommended that both doses of vaccine should be taken for realising the full benefit of vaccination. Both doses must be of the same vaccine type.,"હા, રસીકરણના સંપૂર્ણ લાભની અનુભુતી  માટે રસીના બંને ડોઝ લેવાની ભલામણ કરવામાં આવે છે. બંને ડોઝ એક જ પ્રકારની રસીના હોવા જરુરી છે.  "
When should I take the 2nd dose of vaccination?,મારે રસીનો બીજો ડોઝ ક્યારે લેવો જોઇએ? 
Will my 2nd dose appointment be automatically scheduled by Co-WIN system?,શું મારા બીજા ડોઝની  એપોઇન્ટમેન્ટ કો-વિન સિસ્ટમ દ્વારા આપમેળે શેડ્યૂલ કરવામાં આવશે
No. You have to take an appointment for the 2nd dose vaccination. The Co-WIN system will help you book an appointment in a Vaccination Centre where the same vaccine is being administered as the vaccine type (COVAXIN or COVISHIELD) of the 1st dose.,"ના, તમારે બીજા ડોઝના રસીકરણ માટે એપોઇન્ટમેન્ટ લેવી પડશે. કો - વિન સિસ્ટમ તમને એપઇન્ટમેન્ટ બુક કરવામાં મદદ કરશે. જ્યાં તમને પહેલા આપવામાં આવેલ રસીના પ્રકાર મુજબ (COVAXIN અથવા COVISHIELD) રસી આપવામાં આવશે. "
Whom can I contact if I have some problems related to my online registration of appointment?,"જો મને ઓનલાઇન એપોઇન્ટમેન્ટ સંબંધે કોઇપણ મુશ્કેલી હોય,તો મારે કોનો સંપર્ક કરવાનો રહેશે?"
You can call on the national helpline Ã¢â‚¬Ëœ1075Ã¢â‚¬â„¢ for information and guidance on COVID-19 vaccination and Co-WIN software related queries.,COVID-19 રસીકરણ અને Co-WIN સોફ્ટવેર સંબંધિત પ્રશ્નો અને માહિતી માટે તમે રાષ્ટ્રીય  હેલ્પલાઇન Ã ¢ ¢1075Ã ¢ â‚¬â „„ પર સંપર્ક કરી શકો છો. 
Scheduling Appointment,એપોઇન્ટમેન્ટ સુનિશ્ચિત કરવા 
Can I book an appointment for vaccination in the Co-WIN portal?,શું હું Co-WIN પોર્ટલ પર રસીકરણ માટેની એપોઇન્ટમેન્ટ બુક કરાવી શકું છું
"Yes, you can book appointment for vaccination through Co-WIN portal after logging-in to the Co-WIN Portal through your registered mobile number. The system will show vaccination centres that allow vaccination as per the age of the citizen entered in the registration portal.","હા, તમે તમારા રજિસ્ટર્ડ મોબાઇલ નંબર દ્વારા કો-વિન પોર્ટલમાં લોગ -ઇન થયા પછી કો-વિન પોર્ટલ દ્વારા રસીકરણ માટે એપોઇન્ટમેન્ટ બુક કરાવી શકો છો. સિસ્ટમ રસીકરણ કેન્દ્રો બતાવશે જે રજિસ્ટ્રેશન પોર્ટલમાં દાખલ નાગરિકની ઉંમર પ્રમાણે રસીકરણની મંજૂરી આપે છે"
What are the options if one citizen is aged 45 or above and other is aged 18 or above?,જો એક નાગરિક 45 વર્ષ કે તેથી વધુ ઉંમરના અને અન્ય 18 કે તેથી વધુ વયના હોય તો કયા વિકલ્પો છે
"If one citizen is aged 45 or above and other citizen is aged 18 to 44 years and both want to schedule a combined appointment, then only private paid vaccination centres or vaccination centres as per Stateâ€™s policy will be made available. However, it may happen that some hospitals which are catering to people with 45 years or more may not allow the booking of appointments for people with lesser age. In that case you may make bookings one by one.","જો એક  વ્યક્તિ 45  વર્ષ કે તેથી વધુ વયના અને અન્ય 18 કે તેથી વધુ વયના હોય, અને બંને સાથે એપોઇન્ટમેન્ટ મેળવવા માંગે છે, તો પછી ફક્ત ખાનગી રસીકરણ કેન્દ્રો અથવા  રાજ્યની નીતિ  મુજબના રસીકરણ કેન્દ્રો ઉપલબ્ધ કરાવવામાં આવશે. જો કે, એવું થઈ શકે છે કે કેટલીક હોસ્પિટલો કે જે 45 વર્ષ કે તેથી વધુ ઉંમરના લોકોને પૂરી પાડે છે, ઓછી વય ધરાવતા લોકો માટે અપોઈન્ટમેન્ટ બુક કરવાની મંજૂરી આપી શકતા નથી. તે કિસ્સામાં તમે એક પછી એક બુકિંગ કરી શકો છો. જો કે, એવું થઈ શકે છે કે કેટલીક હોસ્પિટલો કે જે 45 વર્ષ કે તેથી વધુ ઉંમરના લોકોને પૂરી પાડે છે, ઓછી વય ધરાવતા લોકો માટે નિમણૂક બુક કરવાની મંજૂરી આપી શકતા નથી. તે કિસ્સામાં તમે એક પછી એક બુકિંગ કરી શકો છો"
Can I check the vaccine being administered at each vaccination centre?,શું હું દરેક રસીકરણ કેન્દ્ર પર આપવામાં આવતી રસી ચકાસી શકું છું
"Yes, while scheduling an appointment for vaccination, the system will show vaccination centre names along with the name of the vaccine that will be administered in case of private hospitals. Government hospitals may not show the name of the vaccine.","હા, રસીકરણ માટેની એપોઇન્ટમેન્ટનું સમયપત્રક બનાવતી વખતે, સિસ્ટમ રસીકરણ કેન્દ્રના નામની સાથે, રસીના નામ પણ બતાવશે જે ખાનગી હોસ્પિટલોમાં આપવામાં આવશે. સરકારી હોસ્પિટલો રસીનું નામ બતાવી શકશે નહીં"
Can I download appointment slip?,શું હું એપોઇંટમેન્ટ સ્લિપ ડાઉનલોડ કરી શકું છું
"Yes, the appointment slip can be downloaded after the appointment has been scheduled.","હા, એપોઇન્ટમેન્ટ સુનિશ્ચિત થયા પછી એપોઇન્ટમેન્ટ સ્લિપ ડાઉનલોડ કરી શકાય છે"
How can I find the nearest vaccination centre?,હું નજીકના રસીકરણ કેન્દ્રને કેવી રીતે શોધી શકું
Search by PIN,PIN દ્વારા શોધી શકો
Search by District,જિલ્લા દ્વારા શોધી શકો
You can search in Co-WIN portal (or Aarogya Setu) for the vaccination centre nearest to your location by either searching through PIN code or by choosing the State and the District.,તમે પિનકોડ દ્વારા શોધીને  અથવા રાજ્ય કે જિલ્લાને પસંદ કરીને તમારા સ્થળની નજીકનું રસીકરણ કેન્દ્ર કો - વિન પોર્ટલ (અથવા આરોગ્ય સેતુ) માં શોધી શકો છો
Can I reschedule my appointment?,શું હું મારી એપોઇન્ટમેન્ટને ફરીથી શેડ્યૂલ કરી શકું
"The appointment can be rescheduled at any time. In case you are not able to go for vaccination on the date of appointment, you can reschedule the appointment by clicking on Ã¢â‚¬Å“RescheduleÃ¢â‚¬Â tab.","એપોઇન્ટમેન્ટ કોઇપણ સમયે ફરીથી શેડ્યુલ કરી શકાય છે,જો તમે એપોઇન્ટમેન્ટની તારીખે રસીકરણ માટે ન જઇ શકતા હો, તો તમે અહીં આપેલ ટેબ Ã¢â‚¬Å“RescheduleÃ¢â‚¬Â પર ક્લિક કરીને ફરીથી એપોઇન્ટમેન્ટ મેળવી શકો છો."
Do I have an option for cancellation of appointment?,શું મારી પાસે એપોઇન્ટમેન્ટ રદ કરવા માટે કોઈ વિકલ્પ છે
What if I cannot go for vaccination on the date of appointment,જો હું એપોઇન્ટમેન્ટ્ની તારીખે રસી લેવા ન શકુંતો શું થશે? 
"Yes, you can cancel an appointment already scheduled. You can also reschedule the appointment and choose another date or time slot of your convenience.","હા,તમે પહેલાથી જ નિર્ધારિત એપોઇન્ટમેન્ટ રદ કરી શકો છો . તમે એપોઇન્ટમેન્ટ ફરીથી નિશ્ચિત કરી શકો છો અને તમારી સુવિધા મુજબ બીજી તારીખ અથવા સમય સ્લોટ પસંદ કરી શકો છો."
Where will I receive confirmation of date and time of vaccination?,મને રસીકરણની તારીખ અને સમયની પુષ્ટિ ક્યાં મળશે
"Once an appointment is scheduled, you will receive the details of the vaccination centre, date and time slot chosen for appointment in an SMS sent to your registered mobile number. You can also download the appointment slip and print it or keep it on your smart phone.","એકવાર એપોઇન્ટમેન્ટ સુનિશ્ચિત થઈ જાય, પછી તમને રસીકરણ કેન્દ્ર, તમારા રજિસ્ટર્ડ મોબાઇલ નંબર પર મોકલેલા એસએમએસમાં એપોઇન્ટમેન્ટ માટે પસંદ કરેલ તારીખ અને સમય સ્લોટની વિગતો પ્રાપ્ત થશે. તમે એપોઇન્ટમેન્ટ સ્લિપ પણ ડાઉનલોડ કરી શકો છો અને તેને પ્રિન્ટ કરી શકો છો અથવા તેને તમારા સ્માર્ટ ફોનમાં રાખી શકો છો"
Can I get vaccination without appointment?,શું હું એપોઇન્ટમેન્ટ વગર રસી મેળવી શકુ? 
Citizens aged 45 years and above can schedule appointments online or walk-in to vaccination centres.,45 વર્ષ કે તેથી વધુ વયના નાગરિકો ઓનલાઇન એપોઇન્ટમેન્ટ નિશ્ચિત કરી શકે છે અથવા રસીકરણ કેન્દ્રમાં વૉક ઇન કરીને રસી લઇ શકે છે. 
"Citizens aged 18-44 years should mandatorily register themselves and schedule appointment online before vaccination.However, all citizens are recommended to register online and schedule vaccination in advance for a hassle-free vaccination experience.","18 -44 વર્ષના નાગરિકોએ રસીકરણ પહેલા ફરજિયાત રીતે પોતાની નોંધણી કરાવીને એપોઇન્ટમેન્ટ મેળવી લેવી જોઇએ. તેમ છતા, બધા નાગરિકોને તકલીફમુક્ત રસીકરણના અનુભવ માટે ઓન લાઇન નોંધણી કરવાની અને રસીકરણને નિશ્ચિત કરવાની ભલામણ કરવામાં આવે છે"
Can I check the price of the vaccine?,શું હું રસીની કિંમત ચકાસી શકું
Yes. The System will show the price of the vaccine below the name of the vaccination centre at the time of scheduling an appointment.,"હા, એપોઇન્ટમેન્ટ નિશ્ચિત કરવાના સમયે સિસ્ટમ રસીકરણ કેન્દ્રના નામની નીચે રસીના ભાવ પણ બતાવશે."
Can I choose the vaccine?,શું હું રસી પસંદ કરી શકું
"System will show the vaccine being administered in each vaccination centre at the time of scheduling an appointment. Citizen can choose the vaccination centre as per their choice of vaccine being administered However, the choice will not be available at the Government facilities .","એપોઇન્ટમેન્ટ નિશ્ચિત કરવાના સમયે સિસિટમ દરેક રસીકરણ કેન્દ્રમાં કઇ રસી આપશે તે બતાવશેંઆગરિક તેમની પસંદગીની રસી મળતી હોય તે રસીકરણ કેન્દ્રની પસંદગી કરી શકે છે.જોકે, સરકારી કેન્દ્રો પર પસંદગી ઉપલબ્ધ રહેશે નહી"
What precautions should I take at the time of 2nd dose vaccination?,રસીકરણના બીજા ડોઝના સમયે મારે શું સાવચેતી રાખવી જોઇએ
"The Vaccination Centres have been directed to ensure that if a citizen is being vaccinated with 2nd dose, they should confirm that the first dose vaccination was done with the same vaccine as is being offered at the time of second dose and that the first dose was administered more than 28 days ago. You should share the correct information about the vaccine type and the date of 1st dose vaccination with the vaccinator. You should carry your vaccine certificate issued after the first dose.","રસીકરણ કેન્દ્રોને સુચના આપવામાં આવી છે કે જ્યારે કોઇ વ્યક્તિ રસીનો બીજો ડોઝ લેવા આવે,ત્યારે તેમણે ખાતરી કરવી જોઇએ કે પ્રથમ વખત આપવામાં આવી હોય, તે જ રસીનો બીજો ડોઝ આપવામાં આવે. અને પહેલા ડોઝને 28 દિવસ થયેલા હોવા જોઇએ. તમારે રસીના પ્રકાર અને પહેલી વખત મુકવામાં આવેલ રસીની તારીખ અંગે રસી આપનારને માહિતગાર કરવા જોઇએ.રસીનો પ્રથમ ડોઝ લીધા પછી તેનું પ્રમાણપત્ર તમારે તમારી સાથે રાખવુ જોઇએ."
Can I get vaccinated with 2nd dose in a different State/District?,શું હું કોઇ બીજા રાજ્ય/ જિલ્લામાં રસી મુકાવી શકુ
"Yes, you can get vaccinated in any State/District. The only restriction is that you will be able to get vaccinated only on those centres which are offering the same vaccine as was administered to you on your first dose.","હા, તમે કોઇ પણ રાજ્ય કે જિલ્લામાં રસી મુકાવી શકો. પરંતુ એવા જ કેન્દ્ર પર રસી મુકાવી શકો કે જે પ્રકારની રસી તમે પહેલા લીધી હોય,તે જ પ્રકારની રસી ત્યાં અપાતી હોય"
Which documents should I carry with me for vaccination?,રસીકરણ માટે મારે કયા દસ્તાવેજો સાથે રાખવા જોઈએ
You should carry your identity proof specified by you at the time of registration on the Co-WIN portal and a printout/screenshot of your appointment slip.,Co - WIN પોર્ટલ પર નોંધણી સમયે તમે આપેલ તમારા ઓળખપત્ર અને તમારી એપોઇન્ટમેન્ટની સ્લિપની પ્રિન્ટ આઉટ/ સ્ક્રીનશૉટ તમારી સાથે રાખવા જોઇએ
"I have registered myself on Co-Win portal. However, I am not able to make any booking as I do not see any vaccination facility near my location?","મેં કો-વિન પોર્ટલ પર મારી નોંધણી કરાવી છે. જો કે, હું મારા સ્થાનની નજીક કોઈ રસીકરણ સુવિધા જોતી નથી તેથી હું કોઈ બુકિંગ કરી શકું તેમ નથી"
